id,qty,name,description,value
drill-controller-rev2,1,R1,1/4w Metal Film Resistor,1K
drill-controller-rev2,1,R2,1/4w Metal Film Resistor,470R
drill-controller-rev2,1,R3,1/4w Metal Film Resistor,500R
drill-controller-rev2,1,C1,Metalized polyester capacitor,100n
drill-controller-rev2,1,C2,Metalized polyester capacitor,10n
drill-controller-rev2,1,C3,Electrolytic capacitor,470u
drill-controller-rev2,2,"D1,D2",Signal diode,1N4148
drill-controller-rev2,1,D3,Power diode,1N4004
drill-controller-rev2,1,IC1,Voltage Regulator,LM7805
drill-controller-rev2,1,IC2,555 Timer IC,NE555
drill-controller-rev2,1,Q2,N Channel Power Mosfet,IRF540
drill-controller-rev2,1,X1,4 Way Screw Terminal,
drill-controller-rev2,1,X2,3 Way Screw Terminal,
reflow-rev01,1,Q2,N Channel Power Mosfet,IRF540
reflow-rev01,1,X1,4 Way Screw Terminal,
reflow-rev01,1,X2,3 Way Screw Terminal,
